ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Tenure,Total_Spending,Wines_ratio,MeatProducts_ratio,Fruits_ratio,Fish_ratio,SweetProducts_ratio,GoldProds_ratio,Total_Purchases,WebPurchases_ratio,CatalogPurchases_ratio,StorePurchases_ratio,Cluster,Segment
5524,1957,2,1,58138.0,0,0,2012-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,68,13,1617.0001,0.39270251127380884,0.3376623167803144,0.05442176534188217,0.10636981407731515,0.05442176534188217,0.05442176534188217,22,0.36363636363636365,0.45454545454545453,0.18181818181818182,2,Luxury Enthusiasts
2174,1954,2,1,46344.0,1,1,2014-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,71,11,27.0001,0.40740589849667225,0.22222139918000303,0.03703689986333384,0.07407379972666768,0.03703689986333384,0.22222139918000303,4,0.25,0.25,0.5,1,Average Shoppers
6177,1985,4,2,33454.0,1,0,2013-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,40,12,169.0001,0.4497038759148663,0.331360750674112,0.05917156262037715,0.017751468786113143,0.005917156262037714,0.13609459402686744,8,0.5,0.0,0.5,0,Budget-Conscious Seniors
2569,1987,2,2,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,38,13,46.0001,0.06521724952771842,0.36956441399040435,0.30434716446268595,0.13043449905543683,0.021739083175906136,0.10869541587953069,4,0.25,0.0,0.75,0,Budget-Conscious Seniors
9360,1982,2,2,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,43,13,316.0001,0.2721518126101859,0.23101258512259967,0.006329111921167114,0.21835436128026545,0.12025312650217516,0.15189868610801074,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,0,Budget-Conscious Seniors
5376,1979,2,2,2447.0,1,0,2013-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,46,12,1730.0001,0.0005780346486685174,0.9971097689531926,0.0005780346486685174,0.0005780346486685174,0.0005780346486685174,0.0005780346486685174,28,0.0,1.0,0.0,2,Luxury Enthusiasts
4047,1954,4,2,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,71,11,544.0001,0.7058822231834149,0.1874999655330946,0.0,0.038602934080343,0.05882351859861791,0.009191174781034048,17,0.35294117647058826,0.11764705882352941,0.5294117647058824,1,Average Shoppers
7892,1969,2,1,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,56,12,75.0001,0.07999989333347556,0.3333328888894815,0.05333326222231703,0.19999973333368887,0.1599997866669511,0.17333310222253037,6,0.3333333333333333,0.16666666666666666,0.5,0,Budget-Conscious Seniors
8595,1973,2,2,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,52,11,67.0001,0.8208942971726908,0.08955210514611171,0.0,0.029850701715370572,0.0,0.059701403430741144,5,0.2,0.2,0.6,1,Average Shoppers
2968,1943,4,1,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,82,12,902.0001,0.4844788819868202,0.22838134940339808,0.008869178617607693,0.17738357235215385,0.05432371903284711,0.046563187742440386,22,0.3181818181818182,0.45454545454545453,0.22727272727272727,2,Luxury Enthusiasts
503,1985,3,2,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,40,12,53.0001,0.24528255607064892,0.5471687789268321,0.018867888928511455,0.056603666785534364,0.0,0.13207522249958017,5,0.4,0.0,0.6,0,Budget-Conscious Seniors
2139,1975,3,2,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,12,31.0001,0.09677388137457621,0.3225796045819207,0.03225796045819207,0.09677388137457621,0.06451592091638414,0.38709552549830484,5,0.4,0.0,0.6,0,Budget-Conscious Seniors
6566,1954,4,2,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,13,1319.0001,0.626231946457017,0.24033356782914572,0.0379075028121681,0.0379075028121681,0.028809702137247754,0.028809702137247754,19,0.2631578947368421,0.10526315789473684,0.631578947368421,1,Average Shoppers
8614,1957,2,2,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,11,507.0001,0.4832346186913967,0.24654827484254935,0.0374753377760675,0.07297828935339461,0.13214987531560646,0.027613406782365527,16,0.25,0.125,0.625,1,Average Shoppers
4114,1964,3,2,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,13,1693.0001,0.38393382256740566,0.46072058708088676,0.0218546945153754,0.015948020322030697,0.09864145902885653,0.01890135741870305,28,0.21428571428571427,0.32142857142857145,0.4642857142857143,2,Luxury Enthusiasts
1331,1977,2,1,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,12,72.0001,0.16666643518550667,0.27777739197584445,0.08333321759275333,0.4166660879637667,0.013888869598792224,0.04166660879637667,5,0.4,0.0,0.6,0,Budget-Conscious Seniors
2225,1977,2,1,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,11,1617.0001,0.3153988673222717,0.34013603338676357,0.07421149819347568,0.09647494765151839,0.024737166064491896,0.14904142553856367,20,0.2,0.45,0.35,2,Luxury Enthusiasts
9381,1978,2,2,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,12,606.0001,0.5412540360966938,0.2046204282804574,0.014851482697775134,0.019801976930366845,0.03960395386073369,0.17986795711749884,16,0.25,0.125,0.625,1,Average Shoppers
10383,1966,2,1,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,12,1093.0001,0.2698993348673985,0.4409880657833426,0.03202195498426762,0.1107044729456109,0.10978955994606039,0.03659651998202013,20,0.25,0.25,0.5,2,Luxury Enthusiasts
8375,1968,4,2,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,11,518.0001,0.8629341963447498,0.0540540436189105,0.0,0.0,0.0,0.08301156698618398,16,0.5,0.125,0.375,1,Average Shoppers
6853,1982,3,1,75777.0,0,0,2013-04-07,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,12,1438.0001,0.49513209352349835,0.37413071111747487,0.018080666336532245,0.04798330681618172,0.009040333168266123,0.05563281949702229,20,0.15,0.3,0.55,2,Luxury Enthusiasts
6518,1951,4,2,67680.0,0,1,2013-11-06,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,12,606.0001,0.9009899503316914,0.07920790772146738,0.0,0.0,0.009900988465183422,0.009900988465183422,18,0.3888888888888889,0.16666666666666666,0.4444444444444444,1,Average Shoppers
